idx,jid,site_idx,element,frob_norm_true,frob_norm_pred,lam1_true,lam2_true,lam3_true,lam1_pred,lam2_pred,lam3_pred,evec_true_x,evec_true_y,evec_true_z,evec_pred_x,evec_pred_y,evec_pred_z,dot_product,angular_error_deg,eigenvalue_gap_true,eigenvalue_gap_pred,is_exact_zero_angle
634,JVASP-32188,7,H,33.220922604085914,82.25790885525942,-13.426298053370417,-13.698018009275273,27.124316062645693,-32.473510844453216,-34.67773339822323,67.15124324267644,0.5161760175511393,-0.4728546264433077,0.714122413283749,-0.6917718456624797,0.34952258670123737,-0.631890556134844,0.9735966173943975,13.19555449380383,0.40415187180018564,0.39477674908553084,False
899,JVASP-953,1,Os,76.87601083563064,16.68488686605602,31.384,31.385,-62.769,6.811068497190339,6.812084702809843,-13.623153000000185,0.0,0.0,0.9999999999989999,1.6627462811137268e-08,-9.354514771122226e-08,0.9999999999989954,0.9999999999979953,0.00011472697538345842,0.4082417864670741,0.40821782921686334,False
955,JVASP-18210,6,F,32.1993591654658,33.2782052834323,-13.145333333333332,-13.145333333333332,26.290666666666667,-13.585767999995417,-13.585772500004579,27.171540999999998,0.0,0.0,0.9999999999989999,-1.407549498024174e-09,2.0442471049244115e-09,0.999999999999,0.9999999999979999,0.00011459347208369784,0.40824829046386313,0.40824823286847,False
1072,JVASP-65533,2,Sn,377.8484897627619,43.094813648846056,154.256,154.256,-308.512,17.59337999996752,17.593388000032466,-35.186767999999994,0.0,0.0,0.9999999999989999,4.3584632371963175e-09,-1.222295265000838e-09,0.9999999999989999,0.9999999999979998,0.00011459665254114654,0.408248290463863,0.40824819764451226,False
1192,JVASP-17679,0,Dy,91.61254937325272,27.224271992351305,37.400666666666666,37.400666666666666,-74.80133333333333,11.114255998290323,11.114269001709689,-22.228525000000012,0.0,0.0,0.9999999999989999,-2.6735685340384644e-08,-1.6824485138383469e-09,-0.9999999999989996,0.9999999999979995,0.00011460619338392394,0.408248290463863,0.40824805164350725,False
1234,JVASP-35393,2,Ni,23.337336880344054,29.991264641124673,2.4306674587756807,15.15184495577259,-17.582512414548276,-11.806322717184495,-12.676290606152499,24.482613323337,-0.9982085392081368,-0.0001995102397589852,0.05983036391015876,0.780912245154948,-6.435686902832807e-06,0.6246407490098932,0.7421407868755054,42.08590152785153,0.10415359178462745,0.3936587155779825,False
1276,JVASP-7752,2,S,16.851264700312555,7.243704554835613,-6.879,-6.88,13.759,2.9571102006110546,2.957349800045093,-5.914460000656147,0.0,0.0,0.9999999999989999,-1.7405596741664554e-08,-8.60001986945608e-06,-0.9999999999620196,0.9999999999610195,0.0005058960077857944,0.40821861874096665,0.40823175189233846,False
1301,JVASP-43075,1,Ti,11.109671552300725,6.310624681352931,1.0073606715428651,7.3034522593669085,-8.310812930909774,1.5885600430114621,3.4506404343757424,-5.039200477387204,-0.6559331737809084,-0.4876685160249792,-0.5761346110152548,-0.5359395150196011,0.6764011880319892,0.505222989448687,0.2693955070656688,74.37170082453258,0.09067420821583601,0.25172785947886395,False
1355,JVASP-36881,0,Rb,10.904917422887713,9.226882477957977,-3.935418685132592,-4.949152072087894,8.884570757220486,-2.3109211966990655,-5.05440341585756,7.365324812556626,-0.9887690719860431,0.14944968508641177,0.0007168747667337637,-0.910033415886682,0.4143304108257837,-0.013018933618171864,0.9617251125771997,15.90338708022886,0.360884776337028,0.2504552758983987,False
1785,JVASP-18160,5,In,236.3782096852415,134.7731420279615,96.499,96.503,-193.002,55.020812999976144,55.02099600002388,-110.04181000000001,0.0,0.0,0.9999999999989999,-6.606350839634732e-10,-1.7971104604423762e-09,0.9999999999989999,0.9999999999979998,0.00011459665254114654,0.40823982941785103,0.4082476164914291,False
1818,JVASP-86498,0,Ho,202.12291211207764,115.34042501398184,82.51633333333334,82.51633333333334,-165.03266666666667,47.08752399992001,47.087536000079965,-94.17506399999995,0.0,0.0,0.9999999999989999,-7.115586792092255e-10,-2.772671092718396e-09,-0.9999999999989999,0.9999999999979998,0.00011459665254114654,0.4082482904638631,0.408248261563211,False
