split_file,protocol,partition,num_structures,num_sites,num_chemical_systems,num_reduced_formulas,elemental_coverage,frob_median,frob_p90,frob_p95,frob_max,exact_zero_sites,high_efg_tail_sites
official_jarvis_scalar.json,Protocol A: Official JARVIS scalar,train,9492,59088,5892,7444,85,38.174286574181906,164.67090334968103,209.70769410300613,1062.8340123415321,3006,7325
official_jarvis_scalar.json,Protocol A: Official JARVIS scalar,val,1186,7368,1075,1130,82,37.020565338741115,165.06694542075076,211.32349648482773,474.1674231218336,329,875
official_jarvis_scalar.json,Protocol A: Official JARVIS scalar,test,1186,7379,1085,1143,82,34.60965707718007,165.60265238625644,211.83257400834273,427.8961953020849,463,916
tensor_development_split.json,Protocol B: 70:15:15 Development Split,train,10642,67282,5719,7688,88,43.61132786281712,237.80789518222477,356.74795838092376,3001.8020533592817,3702,12862
tensor_development_split.json,Protocol B: 70:15:15 Development Split,val,2280,14156,1170,1614,84,42.78293169010277,235.28200769310854,366.9015213994105,1996.317629959972,811,2795
tensor_development_split.json,Protocol B: 70:15:15 Development Split,test,2280,14225,1255,1680,82,43.022837935217616,222.6759182983198,343.00430889392527,1940.1577563806504,714,2627
tensor_grouped_fold_0.json,Protocol B: Outer Fold 0,train,10337,64977,5476,7410,89,43.990386290643094,241.72633317389796,370.0923215355781,3001.8020533592817,3625,12795
tensor_grouped_fold_0.json,Protocol B: Outer Fold 0,val,1824,11449,1042,1368,83,43.704369529830764,216.12453934846403,312.0131356273322,2095.4404637641223,625,2167
tensor_grouped_fold_0.json,Protocol B: Outer Fold 0,test,3041,19237,1626,2204,83,41.49432604585837,222.91870101480114,337.3845773721029,1869.609294376769,977,3322
tensor_grouped_fold_1.json,Protocol B: Outer Fold 1,train,10337,65413,5501,7449,88,43.80736677774641,240.8929378956552,366.29991682963384,3001.8020533592817,3434,12662
tensor_grouped_fold_1.json,Protocol B: Outer Fold 1,val,1824,11380,1014,1351,83,41.027772410892595,218.256783944967,320.2023928566413,2020.3312540390498,699,2093
tensor_grouped_fold_1.json,Protocol B: Outer Fold 1,test,3041,18870,1629,2182,84,43.42820841894902,224.34386656202568,345.82473650843053,2738.98985140033,1094,3529
tensor_grouped_fold_2.json,Protocol B: Outer Fold 2,train,10338,65129,5557,7487,86,43.28500569481307,233.89627202598282,359.868418554615,3001.8020533592817,3662,12424
tensor_grouped_fold_2.json,Protocol B: Outer Fold 2,val,1824,11650,958,1296,82,45.78341278236038,252.57400671506267,386.6542972656582,1996.317629959972,566,2347
tensor_grouped_fold_2.json,Protocol B: Outer Fold 2,test,3040,18884,1629,2199,86,42.48249542327606,228.35395416656738,337.4648337856651,2287.800911902082,999,3513
tensor_grouped_fold_3.json,Protocol B: Outer Fold 3,train,10338,64876,5536,7461,87,43.19552687489759,230.19039033337873,347.9850751275326,3001.8020533592817,3516,12204
tensor_grouped_fold_3.json,Protocol B: Outer Fold 3,val,1824,11344,978,1317,84,41.484773654181154,228.81558503733064,348.3145564765022,1549.5577053475613,635,2063
tensor_grouped_fold_3.json,Protocol B: Outer Fold 3,test,3040,19443,1630,2204,84,45.02203683753102,256.2864375537652,386.6542972656582,2095.4404637641223,1076,4017
tensor_grouped_fold_4.json,Protocol B: Outer Fold 4,train,10338,65147,5519,7446,88,43.51974748318285,236.02938784713757,358.11549269474506,2738.98985140033,3526,12379
tensor_grouped_fold_4.json,Protocol B: Outer Fold 4,val,1824,11287,995,1343,84,40.62274615286367,219.5281697299913,316.70514330051543,1996.317629959972,620,2002
tensor_grouped_fold_4.json,Protocol B: Outer Fold 4,test,3040,19229,1630,2193,84,45.44753781009484,240.82689129123432,382.49223241712883,3001.8020533592817,1081,3903
